,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,X72964_at,X99350_rna1_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,U39817_at,M57466_s_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U45955_at,D16481_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,HG4115-HT4385_at,L42563_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at,Y07604_at,X05130_s_at,Class
101,18,-4,-162,27,9,122,-19,6,94,31,13,-14,53,176,44,51,21,-46,-8,-17,89,566,222,90,171,144,77,148,182,22,79,21,262,63,148,384,77,260,305,83,202,-54,16,23,38,-67,55,-30,142,148,EPD
102,90,383,-88,53,27,183,-1,291,461,87,25,-4,13,-7,165,30,22,-29,35,94,142,296,312,134,290,133,467,147,658,178,35,17,125,29,101,257,34,144,109,57,214,25,228,41,55,12,143,-19,67,442,EPD
103,24,17,-1339,26,7,22,-15,-20,90,2,-7,-69,74,-42,-4,-3,-45,8,-38,-50,118,989,760,-10,-3,97,86,77,62,9,7,-3,166,-5,87,271,88,174,178,78,219,-146,158,12,24,165,26,-185,70,105,EPD
104,8,-5,-160,25,10,4,24,21,127,34,12,-26,16,-42,12,27,-1,-49,-10,12,59,1151,718,55,24,149,33,168,28,10,43,13,245,33,145,320,66,172,259,88,387,-17,151,-11,48,-36,92,-28,144,207,EPD
105,217,736,111,210,47,396,170,133,963,407,16,-11,42,-18,66,10,6,-21,-19,-16,120,35,301,114,467,90,314,108,863,214,33,10,124,18,112,177,46,142,114,63,316,4,253,49,27,20,162,18,163,239,EPD
106,-8,12,-270,21,5,69,44,-71,154,-35,20,-31,27,-33,20,-6,155,-94,-38,-28,-21,512,510,26,-22,196,29,172,147,30,58,20,241,44,95,415,67,103,209,173,187,-106,176,-18,16,-22,57,-124,140,80,EPD
107,22,11,-207,25,4,-2,32,-16,230,6,3,3,6,-3,37,-1,249,-37,-5,99,62,707,836,43,116,200,96,169,193,17,25,32,105,7,78,303,64,123,145,86,322,19,236,7,9,-5,130,-54,178,362,EPD
108,27,2,-67,39,15,143,46,-13,194,20,8,-7,16,-16,22,117,117,-19,-5,-8,111,1080,749,47,176,206,61,164,235,117,36,12,132,19,98,236,45,150,134,58,91,6,48,53,15,-10,67,-12,98,224,EPD
109,107,640,96,167,27,449,132,215,898,144,42,5,29,96,72,53,26,-7,-9,139,235,128,273,150,525,78,328,106,1042,300,30,16,110,-23,155,230,29,81,121,129,342,40,333,50,109,-9,109,37,128,349,EPD
110,32,51,57,24,13,271,118,51,186,20,78,61,264,833,278,160,478,105,125,250,180,369,306,219,207,111,306,60,888,263,40,21,138,20,121,280,48,185,150,135,120,11,240,38,65,-27,75,9,168,229,EPD
111,48,157,61,31,15,243,130,95,214,25,131,75,245,834,326,174,401,49,115,284,211,334,261,213,184,84,456,37,915,258,42,20,119,54,110,272,41,184,147,106,126,25,276,38,98,-2,78,29,202,251,EPD
112,41,2,-15,23,12,153,8,5,107,37,6,-9,18,-41,7,32,-30,-91,-1,-27,68,1190,511,50,46,74,29,263,48,-180,47,11,231,84,131,317,84,92,174,27,132,-13,20,62,23,-14,86,-94,186,172,EPD
113,23,31,21,16,10,37,73,26,146,10,7,-20,13,-3,9,19,10,-8,11,28,66,959,676,65,42,192,63,331,93,83,10,16,111,-16,58,169,31,120,94,36,119,39,276,101,50,-2,106,-13,230,383,EPD
114,5,-12,-289,21,12,67,49,-38,153,12,10,-18,11,-67,7,-13,26,-51,-11,-24,22,912,1035,17,-17,227,21,498,28,36,38,12,172,28,74,298,59,131,169,82,137,-43,-9,11,7,63,75,-55,168,108,EPD
115,11,40,-828,24,13,224,-116,32,106,10,4,-16,21,-88,-5,26,-28,-149,-4,-59,-660,1182,525,-10,0,115,47,500,45,26,26,10,251,-11,48,220,74,301,190,57,176,-51,130,16,15,107,27,-121,232,131,EPD
116,-7,4,-389,20,6,-77,1,-12,149,-5,1,-39,10,-112,-5,-21,2,-73,-9,-47,26,529,729,3,33,211,14,129,18,43,21,13,237,7,92,338,76,221,214,97,556,-42,227,3,14,84,92,-123,280,280,EPD
117,10,153,-46,56,-3,199,37,1,205,40,17,-21,16,240,231,5,163,0,75,129,192,429,228,206,244,66,419,36,815,87,51,15,143,30,119,307,50,124,200,109,223,-12,198,78,51,57,286,-2,167,271,EPD
118,21,148,-85,27,21,-1,54,47,111,25,10,-8,16,210,43,61,24,-22,-12,154,83,992,549,97,92,136,40,291,135,209,9,19,123,-8,90,201,40,131,118,39,215,62,218,91,62,121,94,-12,110,376,EPD
119,16,28,-17,21,17,-19,22,120,159,15,3,-19,15,11,-5,10,1,-6,32,54,87,1348,736,34,49,233,46,146,22,102,1,-15,107,13,46,195,29,72,125,33,331,74,270,91,35,90,191,26,219,290,EPD
120,47,1291,-75,25,26,67,21,75,85,24,18,-16,18,180,17,2,2,-20,-10,33,196,569,563,231,169,115,89,163,4,226,18,29,121,18,46,186,31,167,112,42,2125,115,863,291,274,601,311,193,462,562,EPD
121,75,747,79,43,49,251,74,30,140,11,8,-13,70,278,59,2,11,-25,-17,-9,225,167,278,144,165,126,462,109,261,209,3,21,102,31,56,161,40,96,85,39,906,54,441,139,182,142,172,47,238,349,EPD
122,15,11,-116,44,24,-45,-44,-46,111,10,0,-43,30,-75,14,-7,46,-45,-15,-59,37,651,540,39,-15,151,57,345,74,21,56,10,253,28,116,292,70,192,184,75,146,-44,126,35,22,-56,108,-29,233,125,EPD
123,28,208,-79,17,7,274,-1,59,159,17,19,0,11,185,56,30,-41,-25,-8,215,241,99,140,69,62,80,309,83,116,36,59,28,183,35,213,359,36,157,208,60,630,126,346,26,46,804,440,50,186,857,EPD
